VideoId,keyWords,type,length,heat,rating
3647,"5,64,47,1,33,73,6",4.0,1,57.3,3.37
32,"19,47,75,1",6.0,35,61.32,3.37
1662,"5,37,66,47",4.0,2,99.14,3.37
2003,"19,30,21",6.0,3,115.64,3.37
3469,"19,62",4.0,2,77.31,3.37
293,"7,47,30",6.0,11,77.63,3.37
2909,"60,61,73",4.0,1,91.69,3.37
3476,"23,12,72,30",6.0,3,115.4,3.37
3409,45,2.0,1,91.02,3.37
529,"23,65,41",6.0,10,79.14,3.365
2356,"5,33,61,79,73",1.0,1,83.0,3.37
3732,"81,9",6.0,3,95.85,3.365
579,"19,6,41",6.0,3,125.73,3.365
2789,"19,73,6",1.0,1,68.05,3.365
682,"7,65,57,48,21",1.0,1,65.17,3.365
2980,"19,33,73",5.0,1,85.55,3.365
3853,"31,73,22",5.0,1,83.4,3.365
3204,"19,30,62,59",6.0,11,88.44,3.365
1738,23,1.0,1,60.31,3.365
3970,3,5.0,2,102.2,3.365
1282,23,1.0,1,62.0,3.365
3599,"5,64,66,30,62,38,10",6.0,3,125.81,3.365
3452,"7,64,47,33,6,21",4.0,2,75.34,3.365
570,"19,9",6.0,13,65.95,3.365
6,"3,72",4.0,1,86.84,3.365
3731,"5,64,6",4.0,3,64.45,3.365
3240,"7,64,33",6.0,13,71.58,3.365
314,"19,65,51,48,22",6.0,3,80.71,3.365
1838,"19,30,62,41",6.0,3,100.92,3.365
648,"7,33,73,59",6.0,6,87.85,3.36
1875,"23,65,41",1.0,1,69.99,3.36
3410,"5,37,64,66,47,12,1,30,6,10",4.0,1,87.16,3.36
2013,"5,6",6.0,11,71.6,3.355
3641,"5,37,64,1,30,73,59",6.0,8,86.61,3.36
1374,"5,37,64,47,6",1.0,1,95.21,3.36
87,"5,37,64,66,79,73",4.0,2,77.38,3.36
1411,"5,37,64,47,1,73,6,10",6.0,13,130.38,3.36
3565,"5,37,64,6",6.0,21,74.11,3.36
2882,"7,8,65,30",6.0,7,68.26,3.36
3446,"23,65,30",1.0,1,84.18,3.36
3733,"19,15,47,65,59,21",4.0,1,76.64,3.36
15,"19,72,62",5.0,2,99.72,3.36
1768,19,5.0,1,77.7,3.36
986,"7,8,65",6.0,6,71.38,3.36
3959,"19,51,22,10",5.0,1,66.27,3.36
3614,"7,64,75",4.0,1,75.73,3.36
3170,"5,8,6",6.0,3,93.96,3.36
186,"5,64,66,47,30",3.0,4,88.99,3.36
340,"23,30,41",5.0,1,78.72,3.355
3786,"49,62,73",4.0,1,102.18,3.355
2075,"27,12,30,59,21",6.0,3,111.81,3.355
2616,"5,37,73",6.0,6,65.93,3.355
2147,"5,64,33,51,73,6",4.0,1,83.35,3.355
3729,"5,47",5.0,1,82.23,3.355
2298,"5,64,66,33",5.0,1,87.15,3.355
1357,"5,47,21",5.0,1,94.37,3.355
826,"23,30,73",4.0,1,92.83,3.355
257,"19,72,41",5.0,2,82.14,3.355
476,"5,64,79,6",5.0,1,83.44,3.355
1969,"23,30,21",6.0,6,101.11,3.355
3612,"5,8,47,30,73",1.0,1,90.16,3.355
1526,"5,37,73,6,10",6.0,3,88.13,3.35
501,"2,1",6.0,10,71.16,3.35
1608,"19,66,51",5.0,2,88.58,3.35
3396,"7,64,47,6",4.0,1,64.4,3.35
1699,"19,41",6.0,3,109.51,3.35
2670,"19,72,41",4.0,1,85.14,3.35
277,"5,6,9",6.0,3,81.86,3.35
3413,"7,8,65,41",5.0,1,60.74,3.35
892,"19,62,41",5.0,1,81.64,3.35
1279,"60,73",1.0,1,59.02,3.35
3152,"19,12,30,62",6.0,3,120.86,3.345
895,"23,1,21",4.0,1,82.95,3.345
2092,"5,37,33,6,10",6.0,8,76.75,3.345
847,19,5.0,1,74.8,3.345
3771,"77,6",5.0,1,69.4,3.345
1461,"7,75,6",6.0,11,85.24,3.345
2639,"19,66,41",6.0,3,116.01,3.345
218,"5,66,12,57,62,10",6.0,3,122.22,3.345
3974,"7,8,47,72",1.0,1,73.81,3.345
3785,"5,37,47,73",4.0,1,71.53,3.345
1474,"5,33,73,10",6.0,6,62.52,3.345
3895,"5,64,30,62,21",6.0,3,118.28,3.345
1680,45,2.0,1,77.72,3.345
2764,"7,75",6.0,6,63.86,3.345
727,"19,8",6.0,3,100.38,3.34
262,"5,37,61,73,80",6.0,3,83.55,3.34
2408,"19,24,79,30,34",4.0,1,98.56,3.34
666,"19,47,70,6",4.0,1,85.99,3.34
3724,"19,21",6.0,3,117.98,3.34
3331,"23,65",4.0,1,63.3,3.34
3570,23,6.0,11,60.52,3.34
2232,"19,73",4.0,1,66.03,3.34
800,19,3.0,3,105.59,3.34
1900,"7,64,47,75",5.0,1,89.87,3.34
2126,"7,73",6.0,3,96.82,3.34
3523,"60,73,6",6.0,12,65.95,3.34
3344,"7,64,47,70",1.0,1,111.47,3.34
3402,"19,66,12,30,21",6.0,3,114.3,3.335
3837,45,2.0,1,66.66,3.335
2462,19,4.0,1,81.92,3.335
2603,"5,8,57,79,30,22",4.0,2,89.82,3.335
3531,"7,64,47,75,6",5.0,1,65.69,3.335
3011,"5,37,47,75",5.0,1,73.92,3.335
486,"19,66,30,62,73",6.0,5,103.0,3.335
1684,"5,64,33,51,62,73,80",4.0,2,67.15,3.335
3688,39,6.0,10,61.49,3.335
173,"5,8,33,61,73",4.0,1,79.18,3.335
515,"5,64,66,38",5.0,1,104.45,3.33
806,"5,15,73,6",6.0,8,72.91,3.33
3760,"7,64,47,1",6.0,6,71.71,3.33
3221,"19,66,22",6.0,3,108.39,3.33
3202,45,2.0,1,72.27,3.33
3426,"5,47,70",3.0,11,94.03,3.33
481,40,5.0,1,81.91,3.33
3831,"19,41",6.0,3,106.88,3.33
763,"19,47,12,1,30",6.0,3,96.64,3.33
2323,"5,37,64,47,75",1.0,1,99.99,3.325
2441,"7,64,47,75",5.0,1,86.46,3.33
3880,"7,64,47,75",4.0,1,88.97,3.335
1079,"19,30,62,38",3.0,3,90.62,3.33
3850,"5,72,22,21",2.0,1,76.91,3.33
2164,"5,37,64,57,6",6.0,8,64.65,3.33
1048,"7,8,75,41",1.0,1,60.12,3.33
3547,19,4.0,1,93.24,3.33
108,26,5.0,1,95.59,3.325
424,"19,16,47",1.0,1,89.35,3.325
1498,"5,8,33,73",4.0,1,99.93,3.325
1486,"5,73",4.0,1,88.43,3.325
1758,2,1.0,1,57.35,3.325
725,"5,37,64,79,73",4.0,1,80.98,3.325
2367,"19,1,59",4.0,1,57.59,3.325
1517,"5,61,73,80",4.0,1,76.79,3.325
2048,2,6.0,29,61.46,3.325
3264,"19,1",5.0,1,85.38,3.32
3414,"81,9",5.0,1,65.28,3.325
969,"19,72,41",6.0,3,95.17,3.33
51,"19,66,1,62",5.0,1,88.12,3.325
3865,"19,41",6.0,13,62.96,3.325
3313,"7,47,63,30",6.0,3,111.68,3.325
1632,"7,64,47,75",1.0,1,100.94,3.325
1436,"5,64,33,73,10",4.0,1,82.95,3.325
744,"5,33,73,80",1.0,1,65.12,3.325
65,"19,41",6.0,6,65.6,3.32
1363,"5,64,47",5.0,2,87.35,3.32
3764,"5,55,73",4.0,1,82.2,3.32
238,"5,37,8,57,30,6",4.0,1,91.08,3.32
